Code;Name;Category;FullDescription
7923;Абонент;;АБОНЕНТ
959;Автомобиле-день;;АВТОМОБ. ДН
513;Автотонна;;АВТО Т
260;Ампер;Амперметр(ввеля);А
263;Ампер-час (3,6 кКл);;А.Ч
870;Ампула;;АМПУЛ
109;Ар (100 м²);;АР
255;Байт;;БАЙТ
2551;Байт в секунду;;БАЙТ/С
9642;Балл;;БАЛЛ
309;Бар;;БАР
323;Беккерель;;БК
801;"Биллион штук (Европа); Триллион штук";;"БИЛЛ ШТ(ЕВР); ТРИЛЛ ШТ"
254;Бит;;БИТ
2541;Бит в секунду;;БИТ/С
616;Бобина;;БОБ
258;Бод;;БОД
181;Брутто-регистровая тонна (2,8316 куб.м);;БРУТТ. РЕГИСТР Т
868;Бутылка;;БУТ
950;Вагоно (машино)-день;;ВАГ (МАШ). ДН
954;Вагоно-сутки;;ВАГ. СУТ
212;Ватт;;ВТ
243;Ватт-час;;ВТ.Ч
324;Вебер;;ВБ
222;Вольт;;В
226;Вольт-ампер;;В.А
059;Гектар;;ГА
310;Гектобар;;ГБАР
160;Гектограмм;;ГГ
122;Гектолитр;;ГЛ
833;Гектолитр чистого (100%) спирта;;ГЛ ЧИСТ СПИРТ
287;Генри;;ГН
290;Герц;;ГЦ
2552;Гигабайт в секунду;;ГБАЙТ/С
302;Гигабеккерель;;ГИГАБК
2547;Гигабит в секунду;;ГБИТ/С
247;Гигаватт-час (миллион киловатт-часов);;ГИГАВТ.Ч
2931;Гигагерц;;ГИГАГЦ
233;Гигакалория;;ГИГАКАЛ
238;Гигакалория в час;;ГИГАКАЛ/Ч
366;Год;;"ГОД; ЛЕТ"
836;Голова;;ГОЛ
281;Градус Фаренгейта;;ГРАД ФАРЕНГ
280;Градус Цельсия;;ЦЕЛЬС
163;Грамм;;Г
306;Грамм делящихся изотопов;;Г ДЕЛЯЩ ИЗОТОП
510;Грамм на киловатт-час;;Г/КВТ.Ч
185;Грузоподъемность в метрических тоннах;;Т
730;Два десятка;;2ДЕС
515;Дедвейт-тонна;;ДЕДВЕЙТ.Т
361;Декада;;ДЕК
116;Декалитр;;ДКЛ
368;Десятилетие;;ДЕСЛЕТ
732;Десять пар;;ДЕС ПАР
